ID,Job Title,Company,Job Page link,Job Description,Source
1,Software Development (All Levels),Insurity,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C2YNyQh3GFAwQ-dyuiZmvfa2S_250bNGRBUZFpswMPsXcMcw7j4OwuCwot0f7_3CTp0lWS4QuQX3uOHS2wpu9HkXjlMkvWR5cOkTY-O6UdSlsy0WcS0ZE_gVtcZp3Bf7p1XViaH2nNXp5rBqP0elxM7EOE4kxREZZsKurnKpuRkQbqhJ8pdqQccGnI3-VogCtb0yF5lw8A3jMnJbrq_xjn6J7K3_6lS140yBmQ6ldEKLjw2mdLOGHIBEDJCg7AG4sWrlMifi4gOYbNY4oXEVOGSBTDHSt6ISX144hcLrg1nQVLCA2pL1zqg1U8dhczE4eME1aCAFYYeD11_bvxmX44f6M9NjJL3lnn4qakKmVsI3e9p9lSUmbXsk-Ytn_R5Y5pvthoaRx7mODLN8eNEzdFWgl61FVEQs-j4_2hxyTIJYh3mZvxCOTSEvkoHQ2tRaxJM5mDEaI8rYwrX0FJ5_9Td6mZBDDmL0ASgunoCUyPnQ==&p=0&fvj=0&vjs=3,"Full Job Description

Software Development at Insurity
 From Software Developers early in their careers to Architects with vision and deep skillsets, if you’ve got a creative, inquisitive, quality-focused, and highly collaborative approach to building great software, it’s time we got to know each other.
 We’re always looking for top talent in software development so we want to learn about why you feel that’s you, what drives you, where you see your career headed, and why you think Insurity could be the right next move for you. We’ll also share a bit about ourselves, our culture and values, and our industry-leading InsurTech solutions. You’ll learn about the opportunities you could have to partner with bright minds like yourself, learn from subject matter experts in tech and insurance, all while ultimately driving value for our customers.
 A Day in The Life:
 Coding is at the core of what you’ll do and you will also partner with team members to design solutions, share your experience in peer review, remediate bugs, and execute test cases with a keen eye to delivering best in class solutions. Additionally, as you grow within your career at Insurity, you will gain greater exposure to partners inside and outside the business and serve as a technical advisor to support the customers’ end goal of simplifying the insurance experience. 
Career Path:
 Developer (no experience needed)



 Senior Developer (4+ years’ experience)



 Lead Developer (8+ years’ experience)



 Architect & Senior Architect (10+ years’ experience)\
 Development Technologies:
 Javascript | Java | C# | VB.net
 HTML | CSS | SQL | Python | R
 What’s In It for You:

 Flex First Workforce: do your best work from home or from one of our office locations; it’s your choice.
 More Than Just Core Values: our values are fundamental in how we attract, train, and retain top talent.
 Award-Winning Onboarding Program: we set you up from the get-go to make a meaningful impact from Day One and follow you through your entire first year.
 Real Career Growth Opportunities – we love to promote from within with over 20% of our open roles filled through internal applicants last year.
 Continuous Learning Opportunities: own your development with your own LinkedIn Learning + Ted@Work + Kaplan licenses.
 Discounted University Tuition: employees and their families can start or continue their university career with less out-of-pocket investment through the University of Arizona Global Campus.
 Generous Time Off: our leadership believes in taking the time you need, when you need it through our Open PTO Policy.
 Day One Health Benefits + Employer-Matched Retirement Savings: you might think it’s table stakes, but we know these matter to you.
 Employee Referral Bonus: give Insurity the biggest compliment you can give by referring someone to work here and earn a cash bonus.

 So, are you creative, quality-minded, and either already skilled or want to learn any of the technologies above? Does Insurity sound like the right place for you to start or grow your career?  Send us your application and a cover letter highlighting what sets you apart from the nice-to-haves and makes you a must-have for our team.  We are committed to diversity, equity, and inclusion (DEI)  We are dedicated to creating an exceptional work environment for all our employees by extending this culture of DEI into the very fabric of our organization. We embrace differences, and diversity of identity, experience, and thought, and actively strive for inclusive behaviors across our company.  We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.
 Thank you for your interest in Insurity! Please understand that due to the volume of applications we receive, only selected candidates will be contacted.

Hiring InsightsJob activityPosted 30+ days ago",Indeed
2,"Software Developer, Early Career",Google,https://ca.indeed.com/rc/clk?jk=369437712218a654&fccid=a5b4499d9e91a5c6&vjs=3,"Job detailsJob typeFull-timeFull Job Description

This program is intended for candidates with 1-3 years of industry experience.
 Minimum qualifications:

 Bachelor's degree or equivalent practical experience
1 year of experience in software development
Experience programming with two or more of the following languages: C, C++, C#, Java, JavaScript, Go, and/or Python
Experience working one or more of the following: web or mobile application development, Unix/Linux environments, distributed and parallel systems, machine learning, information retrieval, natural language processing, networking, software systems, and/or security software development

 Preferred qualifications:

 Experience developing accessible technologies
Interest and ability to learn coding languages as needed
Ability to speak and write in English fluently
Ability to start in 2022


About the job
 Google's software developers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for software developers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. 
As a software developer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our software developers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.
 Google aspires to be an organization that reflects the globally diverse audience that our products and technology serve. We believe that in addition to hiring the best talent, a diversity of perspectives, ideas, and cultures leads to the creation of better products and services.
By applying to this position, you will be considered for all potential Software Developer opportunities. Roles may vary by location and will be discussed in more detail with your recruiter after completion of onsite interviews.
 Google is a software development company at heart. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on users around the world. At Google, software developers not only revolutionize search, they routinely work on scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, social to local, Google software developers are changing the world one technological achievement after another.


 Responsibilities

Design, develop, test, deploy, maintain, and improve software.
Manage individual project priorities, deadlines, and deliverables.

Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.
 
Hiring InsightsJob activityPosted 30+ days ago",Indeed
3,Software Engineer - Intern/Co-op,Intel,https://ca.indeed.com/rc/clk?jk=0d6df80c967d8192&fccid=936367796261bd6e&vjs=3,"Job detailsJob typeInternship / Co-opFull Job Description

Job Description
 Come Intern with our Programmable Solutions Group (PSG). Quartus Compiler Group: The Quartus Compiler Group writes software that automatically maps a digital circuit to programmable resources on a target FPGA. Hardware engineers use our software to analyze and optimize the physical design of their chip. As a member of this team, you'll have a unique opportunity to solve deep technical problems in industrial software with 20+ years of active history, 10+ million lines of source code, and relied on by engineers around the world. We're looking for people who are excited to work on complex R&D questions that joins the complexities of advanced digital circuits with state-of-the-art automation, on large scale algorithms targeting millions of elements, and on advancing the experience of designing a digital chip.

 You will work on some aspect of the Intel Quartus compile system.  Roles and responsibilities may include to work on some of the most difficult and interesting algorithmic problems around.

 This internship position has a length of 4 months with the possibility to extend it as per business' needs.

 Qualifications
 Candidate must possess the minimum qualifications to be initially considered for this position. Preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates. Experience listed below would be obtained through a combination of your school work/classes/research and/or relevant previous job and/or internship experiences. This is an entry level position and will be compensated accordingly.
 Minimum Qualifications

 Candidate must be pursuing a Bachelor's degree in Computer Engineering, Engineering Science, Computer Science, Math, Electrical Engineering or equivalent.
 3+ months of programming experience in C, C++, or Python.

 Preferred Qualifications

 At least one course in digital logic


 Inside this Business Group
 The Programmable Solutions Group (PSG) was formed from the acquisition of Altera. As part of Intel, PSG will create market-leading programmable logic devices that deliver a wider range of capabilities than customers experience today. Combining Altera's industry-leading FPGA technology and customer support with Intel's world-class semiconductor manufacturing capabilities will enable customers to create the next generation of electronic systems with unmatched performance and power efficiency. PSG takes pride in creating an energetic and dynamic work environment that is driven by ingenuity and innovation. We believe the growth and success of our group is directly linked to the growth and satisfaction of our employees. That is why PSG is committed to a work environment that is flexible and collaborative, and allows our employees to reach their full potential.
 Other Locations  Virtual US and Canada

 Intel strongly encourages employees to be vaccinated against COVID-19. Intel aligns to federal, state, and local laws and as a contractor to the U.S. Government is subject to government mandates that may be issued. Intel policies for COVID-19 including guidance about testing and vaccination are subject to change over time.

 Annual Salary Range for jobs which could be performed in US, Colorado: $52,000.00-$147,000.00 (Hourly Role)
 Benefits:
 We offer a total compensation package that ranks among the best in the industry. It consists of competitive pay, stock, bonuses, and benefit programs. Find more information about our Amazing Benefits here
  

Work Model for this Role

 This role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site.
   Intel is committed to a culture of accessibility. Intel provides accommodations to applicants and employees with disabilities. Find information and request accommodation here

Hiring InsightsJob activityPosted 2 days ago",Indeed
4,Software Engineer,Royal Bank of Canada,https://ca.indeed.com/rc/clk?jk=1f5e57868e4d4c16&fccid=537b899e30af3338&vjs=3,"Job detailsJob typeFull-timeFull Job Description

































































Come Work with Us!  At RBC, our culture is deeply supportive and rich in opportunity and reward. You will help our clients thrive and our communities prosper, empowered by a spirit of shared purpose.  Whether you’re helping clients find new opportunities, developing new technology, or providing expert advice to internal partners, you will be doing work that matters in the world, in an environment built on teamwork, service, responsibility, diversity, and integrity.





































































































 Job Title




































 Software Engineer
  





































 Job Description





































 RBC Ventures is a new kind of business – one that marries the strength of one of the world’s most trusted and successful financial institutions with a mission to reimagine the role we play in people’s lives – to move RBC ‘beyond banking’. We’re building a world-class organization focused on designing exceptional experiences, exploring new business models, and creating exponential value. In 2020, we were named by Fast Company as one of the 100 Best Workplaces for Innovators and we’re looking for team members with the curiosity to explore, the capabilities to build, and the capacity to help us deliver our mission

 What is the opportunity?
 We are looking for a talented engineer and passionate team player to join the Ownr team as a Software Engineer. You'll join a scaling team, designing the next evolution of our platform as we move to provide extensive new capabilities to business owners and work alongside a close-knit group of ambitious engineers, product managers, and designers.
 Your experience will contribute to the functionality, reliability, and delivery of our fast-moving Node/React-based application, leveraging the latest JavaScript-based tooling and best practices. As part of a young and growing team, you will have daily opportunities to build on the skills needed to thrive as a well-rounded contributor uniquely in both startup and enterprise environments.

 What you’ll do

 Work with a team of skilled developers creating a rapidly evolving consumer-facing platform.
 Look for opportunities to disrupt from within and continually expand what is possible through technology.
 Work within a cross functional team aimed at delivering high valued solutions.
 Work with modern JavaScript frameworks and tooling.
 Code, test and implement full stack solutions to meet business needs.
 Create intuitive, robust and reusable user interfaces using modern frameworks.
 Maintain code quality and best practices across the stack.


 About You

 You believe all customer experiences should be simple and effective.
 A creative problem solver that can develop a plan, take ownership of tasks, and are outcome-focused.
 A team player, technical mentor, keen to coach others and share ideas with your team.
 An exceptional communicator able to articulate technical issues in plain language.
 You keep up to date on web and mobile development trends and understand how it applies to our customers’ needs.
 You understand web/application security and the importance of data privacy.


 What do you need to succeed?
 Must-Have:

 2 - 4 years of solid hands-on programming experience, with a sizable portion in JavaScript.
 You’ve got your favorite JS frameworks but are still comfortable with vanilla code.
 You’ve used or at least understand the merits of Typescript.
 Experience with, or a desire to learn, a GraphQL-based stack.
 Experience with React and modern state management
 An understanding of APIs and high-level knowledge of microservice patterns.
 Good understanding of data structures and experience with both relational and non-relational Databases.
 You have written unit tests and have some knowledge of JavaScript-based testing frameworks.
 Experience with source control (e.g. Git + Github) and modern software delivery techniques and tools, including pull requests.
 Some exposure to DevOps best practices and cloud computing


 Nice To Have:

 Post-secondary degree or diploma in a computer or design-related program.
 Experience with AWS, continuous integration tools, and automated testing.


 What’s in it for you?
 We thrive on the challenge to be our best, progressive thinking to keep growing and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference in our communities, and achieving success that is mutual.

 A comprehensive Total Rewards Program including bonuses and flexible benefits, competitive compensation, commissions, and stock where applicable
 Leaders who support your development through coaching and managing opportunities
 Ability to make a difference and lasting impact
 Work in a dynamic, collaborative, progressive, and high-performing team
 A world-class training program in financial services
 Flexible work/life balance options
 Opportunities to build close relationships with clients
 Access to a variety of job opportunities across business and geographies


 RBC requires as a condition of employment that all successful candidates in the United States and Canada be fully vaccinated against COVID-19 prior to their start date and may require proof of the same. A reasonable accommodation is available where required by law.

 RBC Ventures
 VSTECHNOLOGY






































 Job Summary










































































 Address:




































 TORONTO, Ontario, Canada
  




































 City:




































 CAN-ON-TORONTO
  




































 Country:




































 Canada
  




































 Work hours/week:




































 37.5
  




































 Employment Type:




































 Full time
  




































 Platform:




































 Technology and Operations
  




































 Job Type:




































 Regular
  




































 Pay Type:




































 Salaried
  




































 Posted Date:





































2022-04-25-07:00
  




































 Application Deadline:




































 2022-05-16-07:00
  







































































 Inclusion and Equal Opportunity Employment
 At RBC, we embrace diversity and inclusion for innovation and growth. We are committed to building inclusive teams and an equitable workplace for our employees to bring their true selves to work. We are taking actions to tackle issues of inequity and systemic bias to support our diverse talent, clients and communities.  We also strive to provide an accessible candidate experience for our prospective employees with different abilities. Please let us know if you need any accommodations during the recruitment process.













































































































 Join our Talent Community  Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.  Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at rbc.com/careers.






































Hiring InsightsJob activityPosted Today",Indeed
5,systems engineer - software,BCLC (British Columbia Lottery Corporation),https://ca.indeed.com/rc/clk?jk=efdb5cd397435344&fccid=f8d1881f9cd6792e&vjs=3,"Job detailsSalary$75,000 - $115,000 a yearJob typeFull-timeFull Job Description


or equivalent experience

 Health benefits

 Health care plan
 Disability benefits
 Dental plan
 Vision care benefits
 Paramedical services coverage

 Long term benefits

 Group insurance benefits
 Life insurance
 Pension plan
 Registered retirement savings plan (RRSP)
 Other benefits
 Maternity and parental benefits
 Tax-free savings account (TFSA)

 Other benefits

 On-site amenities
 Free parking available
 Learning/training paid by employer
 Paid time off (volunteering or personal days)
 Team building opportunities
 Parking available
 Wellness program


Hiring InsightsJob activityPosted 12 days ago",Indeed
6,Software Engineer - Developer Productivity,Carfax,https://ca.indeed.com/rc/clk?jk=17937f3ba98d89c5&fccid=2e34fbb9cb2e96bf&vjs=3,"Job detailsJob typeFull-timeFull Job Description

Join our elite team as a Software Engineer - Developer Productivity
 When was the last time you bragged about where you work? At CARFAX, we do it every day. Why? Because we’re proud to work for a company with a strong mission and trusted brand. We’re proud to work with people who care about what they do and work hard every day to deliver their best. And just announced, the return of the 4-day work week from May 30th to Labour Day! We’ve created the type of company culture where the term, “work- hard play- hard” isn’t just a catchy saying, it’s part of the #CARFAXdifference!
 As a Software Engineer - Developer Productivity you will be a part of the Platform Engineering Development team. The Platform Engineering Development team has full responsibility for our online presence, and that is a very big deal.  As a Software Engineer - Developer Productivity you will:

 Work in a dynamic, agile, team environment developing awesome new applications
 Participate in design decisions, including new technology research and prototyping
 Collaborate closely with AWS engineers, architects, cloud engineers, support teams and other stakeholders
 Design, Build, Operate and Maintain Tools and Systems that help Developers ship user stories
 Innovate new ideas to evolve our applications and processes
 Be responsive to operational concerns and the pain points in the developer experience
 Continuously analyze and evaluate our systems, products, and processes for potential improvements

 To be considered for this role, you will need:

 A passion for constantly improving the developer experience
 Hands-on experience building and supporting CI/CD pipelines leveraging a tool such as Jenkins or GitLab
 Proficiency with at least one technology language like Java, Javascript/Typescript, Golang or Python
 Experience with AWS product offerings (e.g. EC2, VPCs, Lambda, API Gateway, etc.) or their equivalent on other cloud providers
 Experience with Linux Containers and their runtime environments like Kubernetes (esp AWS EKS), AWS ECS, AWS Lambda or equivalent
 Experience with the AWS Console, CLI and SDK or equivalent on other cloud providers
 Experience with Infrastructure as Code using Terraform, CDK, CloudFormation or equivalent
 Have a broad set of technology skills - DEVSECOPS - Development, Security and Operations
 Hands-on experience with Cloud Platforms and Architecture
 Advanced experience in troubleshooting techniques
 Knowledge of security and performance best practices for cloud architectures.


Hiring InsightsJob activityPosted 4 days ago",Indeed
7,"Software Engineer, Viva - Vancouver BC or Remote",Microsoft,https://ca.indeed.com/rc/clk?jk=de17f3b113256fef&fccid=734cb5a01ee60f80&vjs=3,"Full Job Description

Microsoft is embarking on a new effort to address the growing need for employee experience worldwide. Microsoft Viva is an employee experience platform that brings together communications, knowledge, learning, resources, and insights in the flow of work. We are building a product suite designed to address the fundamental shift in how people learn and grow in their workplace. We are looking for team members who are excited to join us on this journey to enable organizations to foster a culture that empowers people and teams to be their best from anywhere. Employee engagement is undergoing a fundamental shift in response to economic, demographic, and societal changes. People want to be excited about their work, be connected to their company culture, understand how to succeed, and feel supported across a spectrum of onboarding, skilling, coaching and mentoring. Our team is committed to examining the employee journey and delivering software and services to improve it.
 Responsibilities

 Design and implement complex features, emphasizing quality, performance, simplicity, durability, scalability, and maintainability.
 Be an effective team player through involvement in rapid prototyping, feature development and service fundamentals/system health monitoring.
 Review and contribute to the code/packages written by other team members.
 Collaborate with Principal Engineers to contribute to the overall technical strategy and alignment of Microsoft Viva.

 Qualifications
 Required Qualifications

 2+ years of software design and development experience in software development.
 2+ years of experience with C#, C++, Java, Python, or equivalent programming language.


 Preferred Qualifications

 Strong technical abilities around design, coding, rapid prototyping, debugging, and problem-solving
 Excellent verbal, written and cross-group collaboration and communication skills
 Bachelor's/Master's degree in Computer Science, related technical field, or equivalent field experience
 Experience working with distributed systems/microservices architectures
 Ability to work on cross-platform code
 Commitment to deliver the best experience for customers



 Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
  


 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.
  

Hiring InsightsJob activityPosted 30+ days ago",Indeed
8,Omnia AI: Software Engineer - New Grad 2023 - Multiple Locations,Deloitte,https://ca.indeed.com/rc/clk?jk=0ff3ddae988f3495&fccid=9e215d88a6b33622&vjs=3,"Job Type: New Graduate
Reference code: 101945
Primary Location: Multiple Locations, Canada
All Available Locations: Calgary; Edmonton; Vancouver
Our Purpose
At Deloitte, we are driven to inspire and help our people, organization, communities, and country to thrive. Our Purpose is to build a better future by accelerating and expanding access to knowledge. Purpose defines who we are and gives us reason to exist as an organization.
By living our Purpose, we will make an impact that matters.
Are you driven to establish a career in Application Integration development and passionate about technology? Do you thrive on solving challenging business problems with technical solutions? Working collaboratively with colleagues and be part of a team that delivers high caliber end to end business solutions, then Omnia AI is where you want to be.
What will your typical day look like?
A software engineer is passionate about building robust, reusable integration solutions and have a passion for digital transformation technology and is learning and gaining experience in agile development environments. You will play an active role throughout the entire engagement cycle – developing workflows and integration services and APIs. You enjoy working with others to solve problems and learn from senior members within the team. You like building positive peer and client relationships by developing an understanding of customer’s business and project scope and can translate business requirements into technical requirements.
In this role, you will:
Develop integrations and APIs using various platforms
Translate business rules and requirements into data objects, produce data mappings and write abstracted, reusable code components accordingly
Deploy and integrate solutions on the cloud and on-premises
Plan/schedule tasks, be part of small development teams, and learn from the trenches
Participate in technical meetings with client staff, and help advise clients with technical option analyses based on leading practices
About the team
As a member of our Integration Modernization team, you will help our clients manage the complexity inherent in today’s diverse business landscape while supporting them in consolidating or customizing multiple technologies. You will be part of a practice focused on delivering a breadth of solutions to solve our clients most challenging business problems, with a focus on Integration Platforms, API design, and Micro and Web Services. We help our customers to reduce costs and risks by simplifying integration with existing systems and supporting them in all aspects of creating customized and innovative digital solutions.
Enough about us, let’s talk about you
You are someone who is:
Graduating from a BA/BSc or MA/MSc degree in Applied Mathematics, Statistics, Computer Science, Engineering, Business, or related field by September 2023
Quick to learn new technologies, easy to adapt to new environments, thrive on solving challenging problems with technical solutions
Strong development skills in Java Spring Boot, Spring Cloud and familiarity with streaming platforms
Understanding of
Able to work in multiple technical environments and able to work with peers and business stakeholders to collect and document assessment needs
Our shared values
While our Purpose guides us and helps explain why we exist, our shared values describe the behaviour we expect from each other at the firm.
They provide common ground to unite us across cultures and geographies. They help us to earn the trust and respect of our stakeholders. We all commit to living by these shared values, to stay true to the principles they represent, and to honour the legacy from which they came. They are what sets us apart and makes us Deloitte.
Every day, we live our Purpose through the following five shared values:
Lead the way: Deloitte is not only leading the profession, but reinventing it for the future. We’re also committed to creating opportunity and leading the way to a more sustainable world.
Serve with integrity: Deloitte has earned the trust of employees, clients, regulators, and the public for 175 years. Upholding that trust is our single most important responsibility.
Take care of each other: We look out for one another and prioritize respect, fairness, development, and well-being.
Foster inclusion: We are at our best when we foster an inclusive culture and embrace diversity in all forms. We know this attracts top talent, enables innovation, and helps us deliver well-rounded client solutions.
Collaborate for measurable impact: We approach our work with a collaborative mind¬set, teaming across businesses, geographies, and skill sets to deliver tangible, measurable, attributable impact.
The next step is yours

Sound like The One Firm. For You? Apply by May 15, 2022 @ 11:59pm ET.
To be considered, you must submit your cover letter, resume and unofficial transcript in ONE PDF document.
At Deloitte, we are all about doing business inclusively – that starts with having diverse colleagues of all abilities. Deloitte encourages applications from all qualified candidates who represent the full diversity of communities across Canada. This includes, but is not limited to, people with disabilities, candidates from Indigenous communities, and candidates from the Black community in support of living our values, creating a culture of Diversity Equity and Inclusion and our commitment to our AccessAbility Action Plan, Reconciliation Action Plan and the BlackNorth Initiative.
We encourage you to connect with us at accessiblecareers@deloitte.ca if you require an accommodation for the recruitment process (including alternate formats of materials, accessible meeting rooms or other accommodations). We’d love to hear from you!
By applying to this job you will be assessed against the Deloitte Global Talent Standards. We’ve designed these standards to provide our clients with a consistent and exceptional Deloitte experience globally. Deloitte Canada has 30 offices with representation across most of the country. We acknowledge our offices reside on traditional, treaty and unceded territories as part of Turtle Island and is still home to many First Nations, Métis, and Inuit peoples. We are all Treaty people.Hiring InsightsJob activityPosted 6 days ago",Indeed
9,Software Development Engineer Intern - Summer 2022 (Canada),Amazon Dev Centre Canada ULC,https://ca.indeed.com/rc/clk?jk=e391fe212d1d351c&fccid=fe2d21eef233e94a&vjs=3,"Full Job Description


Currently enrolled in an Associate’s, Bachelor’s or Master’s Degree in Computer Science, Computer Engineering
 Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design
 Knowledge of Computer Science fundamentals such as object-oriented design, algorithm design, data structures, problem solving, and complexity analysis.




  At Amazon, we hire the best minds in technology to innovate and build on behalf of our customers. The intense focus we have on our customers is why we are one of the world’s most beloved brands – customer obsession is part of our company DNA. Our interns write real software and collaborate with a select group of experienced software development engineers (SDEs) who guide interns on projects that matter to our customers.
  
 As an intern, you will be matched to a manager and a mentor. You will have the opportunity to influence the evolution of Amazon technology and lead mission critical projects early in your career. Your design, code, and raw smarts will contribute to solving some of the most complex technical challenges in the areas of distributed systems, data mining, automation, optimization, scalability, and security – just to name a few.
  
 In addition to working on an impactful project, you will have the opportunity to engage with Amazonians for both personal and professional development, expand your network, and participate in activities with other interns throughout your internship. No matter the location of your internship, we give you the tools to own your project and learn in a real-world setting. Many of our technologies overlap, and you would be hard pressed to find a team that is not using Amazon Web Services (AWS), touching the catalogue, or iterating services to better personalize for customers.
  

Key Job Responsibilities


Collaborate with experienced cross-disciplinary Amazonians to conceive, design, and bring innovative products and services to market.
 Design and build innovative technologies in a large distributed computing environment, and help lead fundamental changes in the industry.
 Create solutions to run predictions on distributed systems with exposure to innovative technologies at incredible scale and speed.
 Build distributed storage, index, and query systems that are scalable, fault-tolerant, low cost, and easy to manage/use.
 Ability to design and code the right solutions starting with broadly defined problems.
 Work in an agile environment to deliver high-quality software.
 Amazon internships are full-time (40 hours/week) for 12 consecutive weeks with start dates between May and June 2022. Applicants should have a minimum of one quarter/semester remaining in their studies after their internship concludes.
  
 NOTE: By applying to this position, your application will be considered for all locations we hire for in Canada including, but not limited to: 
  Vancouver, BC; Toronto, ON, Winnipeg, MN, Victoria, BC, Ottawa, ON, Calgary, AB, Montreal, QC. Locations are subject to change.

 If this opportunity interests you, apply and come chart your own path at Amazon.
  
 NOTE: Applications are reviewed on a rolling basis. For an update on your status, or to confirm your application was submitted successfully, please login to your candidate portal. Please understand that we are reviewing a high volume of applicants, and appreciate your patience as we review applications for future Amazonians!
  

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability age, or other legally protected status. If you would like to request an accommodation, please notify your recruiter.



Previous technical internship(s), if applicable.


 Experience with distributed, multi-tiered systems, algorithms, and relational databases.
 Experience in optimization mathematics such as linear programming and nonlinear optimization.
 Ability to effectively articulate technical challenges and solutions.
 Adept at handling ambiguous or undefined problems as well as ability to think abstractly.


Hiring InsightsJob activityPosted 30+ days ago",Indeed
10,Developers (Entry-Level),Adacado.com,https://ca.indeed.com/rc/clk?jk=d5ee8186edaa65b9&fccid=d4f94d8bd8f3d8bd&vjs=3,"Job detailsApplication DetailsCover letterFull Job Description









Who you are…





You are finishing your Bachelor’s degree or coding bootcamp and ready to embark on your coding career.
 Adacado is looking for potential developers that are willing to work hard and are hungry to learn. You will have at least a basic fundamental knowledge of programming but a passion for coding and building applications – with one or two personal projects that feed your zeal.
 We will mentor you and provide you with all the resources and materials to help you become a capable programmer, along whichever developer path you choose (FE or BE). You will be exposed to Adacado’s best practices and all processes Agile. Your energy and progress will determine how long it takes you to evolve into a Junior Developer.













The Adacado Platform





The Adacado SAAS platform (and its roadmap) creates many interesting technical challenges. Adacado is built on Kubernetes, Golang, Vue, and ES6, and utilizes Node, Postgres, Kafka, Aerospike, and ElasticSearch. We manage an ever growing army of microservices (150+ unique across 300+ deployments) with special care in making our applications performant, available, and scalable.













The Adacado Team





Everyone at Adacado believes in our product, making our group close knit. We live through our trials and tribulations together (often over great Vancouver craft beer or other libations). Our staff are our most valuable resource.
 We provide our team members with competitive compensation with benefits and stock options, liberal time off, flexible work hours, and a generous skills-development/education budget. All developers also receive a stand-up desk, dual monitors, and a Nerf gun (yes, a Nerf gun!).
 Adacado is located in the heart of downtown Vancouver, close to public transit. Everyday is casual day in the office and we provide a fully stocked kitchen with snacks. We also serve lunch hot and fresh every Friday, have regular in-office craft beer and wine parties, and bi-annual company retreats.





Location





This role is based in our Vancouver office and applicants must be eligible to work in Canada. Remote applicants WILL NOT be considered.













Apply Today!





Tell us why you are the right person for the job – cover letter required.





For all inquiries, please contact us via email only at careers@adacado.com.
 Attach your resume and cover letter and please include position title in the subject line.









Hiring InsightsJob activityPosted 30+ days ago",Indeed
