ID,Job Title,Company,Job Page link,Job Description,Source
1,General Labour,Electromac,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A23ANJHLs102QKkeiMWOhNIJWyAp3fPABdekpgsxbTNOcHUiSZQW8v6DF1iAFrefV2JI9j13uIulcnMdO8P7aTkBfEGnqa9UhZ5nosQSfOmDIJKibVBrmUvu73v7xeecAlzcgrtjacnDy_V6LPrzRV-UFlBr7X_ykI5iy5SEMx0Jvbv_-Y3CBrqac3y8NaACecsQbQ-nPFdLX6MQht79ohWC4Z9NnP0UCIXJRw3eV4paC83RmHpfeo2xyFvZWKv6xkmPa9E2qKS-tspUPsthW0GBGToxDyCvcBiJ5T6pVn62b4NOMmZu0xWT0D9BeLhwl9z6HzsSq3y9gm65lo9hroo1qpHN1_8MI4iZpjmDkYXq6qFon7YUr3RQA3kvk--hu1iMxseTrDg9EEGgAUJCPqi6kGYzMbmSUHFdRVGC88zVhb58_eI8R8L58J87cCFagiXT6S7CUlTp0HotHc34Ke2LcIzFeLQ6FFi3Ux16cLMPies7CLwaCy3eovfWmMoD7dSUA3dKgy_bzvqcrTza9qRSss9WXsDr2HEo5gl_pHOlEJRHW9eV8W&p=0&fvj=0&vjs=3,"***Emails regarding next steps will come from Bamboo HR - Please Ensure to check your junk mail when applying for jobs***
Cleveland-Cliffs is the largest flat-rolled steel company and the largest iron ore pellet producer in North America. The company is vertically integrated from mining through iron making, steelmaking, rolling, finishing and downstream with hot and cold stamping of steel parts and components.

Cleveland-Cliffs Tooling and Stamping has openings at its Windsor, Ontario facility for General Labour.
Duties and Responsibilities:


Responsible for the final stages of product manufactured before shipping to customers
Support production line work, such as reworking, packing, and sorting parts
Assist and provide support to press operators
Assist operators with set up procedures
Support the maintenance, tooling, quality, and logistics departments
Perform quality checks and ensure product meets specifications
Utilizing welding and grinding hand tools
Maintain & improve housekeeping within work area
Responsible for any equipment that has been assigned
Utilize lean-manufacturing principles and participate in action workouts to improve process capability, reduce overall costs, and increase outflow
Other duties assigned by the management team
Abide by all Company policies including, but not limited to the following: Health and Safety, Environmental, Quality, Human Resources policies, and the Employee Handbook


Requirements:


High School Diploma
Mechanically inclined
Strong teamwork skills
Ability to meet quota and standards
Ability to lift up to 23 kg (50 lbs)
Ability to work in a fast-paced environment performing repetitive tasks
Ability to work all shifts (days, afternoons, midnights)


Cleveland-Cliffs is the largest flat-rolled steel company and the largest iron ore pellet producer in North America. The company is vertically integrated from mining through iron making, steelmaking, rolling, finishing and downstream with hot and cold stamping of steel parts and components.
We thank all who apply, but only applicants selected for an interview will be contacted.
As a company, we are doing what we can to keep all our employees safe and healthy. It is the current expectation that, subject to any exceptional human rights accommodations, all Cleveland-Cliffs employees will be fully vaccinated against COVID-19 as soon as possible. Before accepting an offer of employment, you must certify that you are fully vaccinated or will be before commencing employment, or you must request and be approved for a human rights accommodation. Cleveland-Cliffs reserves the right to require proof of vaccination. Failure to adhere to this requirement will render any offer of employment frustrated, null and void, and you will not be eligible for employment with Cleveland-Cliffs.
Cleveland-Cliffs Inc., including its affiliates and subsidiaries (collectively, “Cleveland-Cliffs”), is an equal opportunity employer and complies with its obligations under applicable human rights legislation. All qualified applicants will receive consideration for employment without regard to race, ancestry, place of origin, colour, ethnic origin, citizenship, creed, sex, sexual orientation, gender identity, gender expression, age, record of offences, marital status, family status or disability, or other protected grounds under applicable human rights legislation. Cleveland-Cliffs requires all prospective employees to undergo a pre-employment background check.
Cleveland-Cliffs Inc. is committed to working with and providing reasonable accommodation to individuals with disabilities or other needs based on protected human rights grounds. If you need a reasonable accommodation for any part of the employment process, please let us know the nature of your request and your contact information.
Job ID: INDCAHiring InsightsJob activityPosted 5 days ago",Indeed
2,Automation Specialist,Electromac,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A23ANJHLs102QKkeiMWOhNIJWyAp3fPABdekpgsxbTNOcHUiSZQW8v6DF1iAFrefV2JI9j13uIuh0CZKserwmkRcingd-XS-tVd2Afjf29UAOAvNuz7FA9bw3kAkU9LWssSvA-ZEycsRXu6ot4rhfr15yJLngd_J_N6l3aHVP_Z484SEej_KVy_Q-e7QrX9hnAYnCCnKrS9AuEbh0UiDTLKjtofJShVa3y0gLh7tg0-3n9BmluBX8CgA8gRHaxPgr-njQxnUtLt3x9IMY_Hk6fLrDZgaWRaj3yotYj_SvFDOxZpnMxSAQ70Ygq_BiWwZVH0Ajk80y2Di0_c4xot-hEYFqxK4xlouqVVqrf75X26F19DgZw5f4brmTqvwaNAWEjyEdTumP1GXtAR0pE7mKoYTs4h0PpncsPZFrzEdN9sl_Y7mSkfWeyhM-mrQM23smXCEbXsooEnDSqgU-AchXCf3izTzlRVKm7Azg8RyujXCRDPFNZLgdCSYQuAZqOcn0VAvo6HcPvDrOVvX7apDR38FFIpVBKt4i_IN9woWyDBSs54wsN9N_P&p=1&fvj=0&vjs=3,"***Emails regarding next steps will come from Bamboo HR - Please Ensure to check your junk mail when applying for jobs***
Cleveland-Cliffs is the largest flat-rolled steel company and the largest iron ore pellet producer in North America. The company is vertically integrated from mining through iron making, steelmaking, rolling, finishing and downstream with hot and cold stamping of steel parts and components.


Cleveland-Cliffs Tooling and Stamping has openings at its Windsor, Ontario facility for Automation Specialist.
Duties and Responsibilities:

Oversee and improve automated process in manufacturing facility.
Supervise industrial automated equipment and processes
Analyze, prepare, and communicate reports on machinery for process improvements
Maintain, debug, and troubleshoot robotic and PLC programs
Prepare technical documentation such as operating and training manuals.
Proactive in process and quality improvements
Ensure compliance with all legislative safety requirements


Requirements:

Degree or Diploma from an accredited post-secondary institution is required. Programs of study would include: Robotic Technician, Electrical Engineering, Industrial Automation, Mechatronics, and Industrial Controls.
Minimum of 2 years of relevant experience related to industrial automation.
Ability to retain information and communicate effectively
Strong trouble shooting and diagnostic skills
Broad knowledge of process automation
Ability to work independently or as a team in a fast-paced environment with minimal supervision
Strongly motivated with high levels of initiative
Available to work rotating shifts; including days, afternoons, midnights, and weekends.


We thank all who apply, but only applicants selected for an interview will be contacted.
As a company, we are doing what we can to keep all our employees safe and healthy. It is the current expectation that, subject to any exceptional human rights accommodations, all Cleveland-Cliffs employees will be fully vaccinated against COVID-19 as soon as possible. Before accepting an offer of employment, you must certify that you are fully vaccinated or will be before commencing employment, or you must request and be approved for a human rights accommodation. Cleveland-Cliffs reserves the right to require proof of vaccination. Failure to adhere to this requirement will render any offer of employment frustrated, null and void, and you will not be eligible for employment with Cleveland-Cliffs.
Cleveland-Cliffs Inc., including its affiliates and subsidiaries (collectively, “Cleveland-Cliffs”), is an equal opportunity employer and complies with its obligations under applicable human rights legislation. All qualified applicants will receive consideration for employment without regard to race, ancestry, place of origin, colour, ethnic origin, citizenship, creed, sex, sexual orientation, gender identity, gender expression, age, record of offences, marital status, family status or disability, or other protected grounds under applicable human rights legislation. Cleveland-Cliffs requires all prospective employees to undergo a pre-employment background check.
Cleveland-Cliffs Inc. is committed to working with and providing reasonable accommodation to individuals with disabilities or other needs based on protected human rights grounds. If you need a reasonable accommodation for any part of the employment process, please let us know the nature of your request and your contact information.
JOB ID: INDCAHiring InsightsJob activityPosted 5 days ago",Indeed
3,General Labour,Cleveland-Cliffs,https://ca.indeed.com/rc/clk?jk=3e4fcce56e0e288e&fccid=885d172dd48ade1b&vjs=3,"***Emails regarding next steps will come from Bamboo HR – Please Ensure to check your junk mail when applying for jobs***

Cannon Automotive, a division of Cleveland-Cliffs Tooling and Stamping, is looking for a General Labour for its Windsor, Ontario stamping facilities.

Duties and Responsibilities:

Responsible for the final stages of product manufactured before shipping to customers
Support production line work, such as reworking, packing, and sorting parts
Assist and provide support to press operators
Assist operators with set up procedures
Support the maintenance, tooling, quality, and logistics departments
Perform quality checks and ensure product meets specifications
Utilizing welding and grinding hand tools
Maintain & improve housekeeping within work area
Responsible for any equipment that has been assigned
Utilize lean-manufacturing principles and participate in action workouts to improve process capability, reduce overall costs, and increase outflow
Other duties assigned by the management team
Abide by all Company policies including, but not limited to the following: Health and Safety, Environmental, Quality, Human Resources policies, and the Employee Handbook

Requirements:

High School Diploma
Mechanically inclined
Strong teamwork skills
Ability to meet quota and standards
Ability to lift up to 23 kg (50 lbs)
Ability to work in a fast-paced environment performing repetitive tasks
Ability to work all shifts (days, afternoons, midnights)

We thank all who apply, but only applicants selected for an interview will be contacted.

As a company, we are doing what we can to keep all our employees safe and healthy. It is the current expectation that, subject to any exceptional human rights accommodations, all Cleveland-Cliffs employees will be fully vaccinated against COVID-19 as soon as possible. Before accepting an offer of employment, you must certify that you are fully vaccinated or will be before commencing employment, or you must request and be approved for a human rights accommodation. Cleveland-Cliffs reserves the right to require proof of vaccination. Failure to adhere to this requirement will render any offer of employment frustrated, null and void, and you will not be eligible for employment with Cleveland-Cliffs.

Cleveland-Cliffs Inc., including its affiliates and subsidiaries (collectively, “Cleveland-Cliffs”), is an equal opportunity employer and complies with its obligations under applicable human rights legislation. All qualified applicants will receive consideration for employment without regard to race, ancestry, place of origin, colour, ethnic origin, citizenship, creed, sex, sexual orientation, gender identity, gender expression, age, record of offences, marital status, family status or disability, or other protected grounds under applicable human rights legislation. Cleveland-Cliffs requires all prospective employees to undergo a pre-employment background check.

Cleveland-Cliffs Inc. is committed to working with and providing reasonable accommodation to individuals with disabilities or other needs based on protected human rights grounds. If you need a reasonable accommodation for any part of the employment process, please let us know the nature of your request and your contact information.Hiring InsightsJob activityPosted 30+ days ago",Indeed
4,Quality Engineer,Cleveland-Cliffs,https://ca.indeed.com/rc/clk?jk=8194f5c31d36c68e&fccid=885d172dd48ade1b&vjs=3,"Job detailsJob typeFull-timeFull Job Description

***Emails regarding next steps will come from Bamboo HR – Please Ensure to check your junk mail when applying for jobs*** 
Cannon Automotive a division of Cleveland-Cliffs Tooling and Stamping is looking for a Quality Engineer in Windsor, Ontario.
 Cleveland-Cliffs is the largest flat-rolled steel company and the largest iron ore pellet producer in North America. The company is vertically integrated from mining through iron making, steelmaking, rolling, finishing and downstream with hot and cold stamping of steel parts and components.
 Duties and Responsibilities:

 Responsible for analyzing all stages of the manufacturing system to maximize the quality of the process itself and the products being produced including prevention planning and the correction of non-conformance with the production cycle
 Responsible for the Quality System Maintenance
 Conduct root cause analysis and implement corrective action for process related concerns
 Responsible for continual improvement activities to enhance the quality system, such as 5S, Kaizen and lean methods
 Develop, implement, and participate in training to build quality awareness.
 Act as a support to the Quality Inspectors to ensure that products and processes comply with the relevant requirements of the quality management system
 Conduct audits, including closing out audit findings, creating audits finding reports and determine proper corrective and preventive actions
 Analyze failure, corrective, and preventative action to respond to customer complaints
 Maintain quality documentation, such as quality manuals, quality procedures and other relevant written processes
 Responsible for planning, organizing, and managing the overall activities of receiving/outgoing quality functions
 Ensure timely resolution of supplier failure, corrective actions, and preventive actions
 Manage suppliers’ performance and conduct audits
 Comply and enforce all safety procedures as required by the Health & Safety Act and/or Company practices or procedures including but not limited to the wearing of all PPE (Personal Protective Equipment) as specified by the Act or designated by the Company
 Evaluating the company’s product specification and examining them with customer requirements.
 Coaching, managing, mentoring and developing new and existing employees
 Participate and complete all Health and Safety training or any other training mandated by the Company
 Promote and participate in a safe and healthy work environment
 Other duties as assigned by the management team 

Requirements:

 Possess 3-5 years of supervisory or related experience in a fast paced production/manufacturing environment.
 Education: Post Secondary or equivalent
 Strong verbal and written communication skills
 Strong organizing, planning and problem solving skills
 Ability to train personnel
 Ability to lift up to 23 kg (50lbs)
 Ability to find information, document relevant information and knowledge of computers
 Ability to retain information and communicate effectively
 Experience in Automotive industry (PFMEA, Control Plan, PPAP)
 Ability to work all shifts (days, afternoons, midnights)

We thank all who apply, but only applicants selected for an interview will be contacted.
 As a company, we are doing what we can to keep all our employees safe and healthy. It is the current expectation that, subject to any exceptional human rights accommodations, all Cleveland-Cliffs employees will be fully vaccinated against COVID-19 as soon as possible. Before accepting an offer of employment, you must certify that you are fully vaccinated or will be before commencing employment, or you must request and be approved for a human rights accommodation. Cleveland-Cliffs reserves the right to require proof of vaccination. Failure to adhere to this requirement will render any offer of employment frustrated, null and void, and you will not be eligible for employment with Cleveland-Cliffs.
 Cleveland-Cliffs Inc., including its affiliates and subsidiaries (collectively, “Cleveland-Cliffs”), is an equal opportunity employer and complies with its obligations under applicable human rights legislation. All qualified applicants will receive consideration for employment without regard to race, ancestry, place of origin, colour, ethnic origin, citizenship, creed, sex, sexual orientation, gender identity, gender expression, age, record of offences, marital status, family status or disability, or other protected grounds under applicable human rights legislation. Cleveland-Cliffs requires all prospective employees to undergo a pre-employment background check.
 Cleveland-Cliffs Inc. is committed to working with and providing reasonable accommodation to individuals with disabilities or other needs based on protected human rights grounds. If you need a reasonable accommodation for any part of the employment process, please let us know the nature of your request and your contact information.


Hiring InsightsJob activityPosted 1 day ago",Indeed
5,Administrative Assistant,Electromac,https://ca.indeed.com/rc/clk?jk=0065b9271a80a7f6&fccid=aec9ca925f33ea17&vjs=3,"***Emails regarding next steps will come from Bamboo HR - Please Ensure to check your junk mail when applying for jobs***
Cannon Automotive a division of Cleveland-Cliffs Tooling and Stamping is looking for an Administrative Assistant in Windsor, Ontario.
Cleveland-Cliffs is the largest flat-rolled steel company and the largest iron ore pellet producer in North America. The company is vertically integrated from mining through iron making, steelmaking, rolling, finishing and downstream with hot and cold stamping of steel parts and components.
Duties and Responsibilities:


To provide administrative support to all areas of the organization
Prepare, key in, edit and proofread correspondence, invoices, presentations, brochures, publications, reports and related material from machine dictation and handwritten documents
Open and distribute incoming regular and electronic mail and other material, co-ordinate the flow of information internally and with other departments and organizations
Schedule and confirm appointments and meetings as required
Order and maintain office supply inventory
Answer and relay phone and electronic enquiries
Assist in the organization of company events
Set up and maintain manual and computerized information filing systems
Determine and establish office procedures
Greet visitors, ascertain nature of business and direct visitors to appropriate personnel
Record and prepare meetings minutes
Schedule travel arrangements
Other duties as assigned
Abide by all Company policies including, but not limited to the following: Health and Safety, Environmental, Quality, Human Resources policies, and the Employee Handbook


Requirements:


Completion of secondary school is required
Post-Secondary education for administrative assistant or secretarial work is an asset
Proficiency using Microsoft Office Suite: Excel, Word, PowerPoint, Outlook, Sharepoint
Strong written and oral communication skills
Experience working with sensitive and confidential information
Previous clerical experience is required


We thank all who apply, but only applicants selected for an interview will be contacted.
As a company, we are doing what we can to keep all our employees safe and healthy. It is the current expectation that, subject to any exceptional human rights accommodations, all Cleveland-Cliffs employees will be fully vaccinated against COVID-19 as soon as possible. Before accepting an offer of employment, you must certify that you are fully vaccinated or will be before commencing employment, or you must request and be approved for a human rights accommodation. Cleveland-Cliffs reserves the right to require proof of vaccination. Failure to adhere to this requirement will render any offer of employment frustrated, null and void, and you will not be eligible for employment with Cleveland-Cliffs.
Cleveland-Cliffs Inc., including its affiliates and subsidiaries (collectively, “Cleveland-Cliffs”), is an equal opportunity employer and complies with its obligations under applicable human rights legislation. All qualified applicants will receive consideration for employment without regard to race, ancestry, place of origin, colour, ethnic origin, citizenship, creed, sex, sexual orientation, gender identity, gender expression, age, record of offences, marital status, family status or disability, or other protected grounds under applicable human rights legislation. Cleveland-Cliffs requires all prospective employees to undergo a pre-employment background check.
Cleveland-Cliffs Inc. is committed to working with and providing reasonable accommodation to individuals with disabilities or other needs based on protected human rights grounds. If you need a reasonable accommodation for any part of the employment process, please let us know the nature of your request and your contact information.Hiring InsightsJob activityPosted 1 day ago",Indeed
6,Automation Specialist,Cleveland-Cliffs,https://ca.indeed.com/rc/clk?jk=fac2220027884077&fccid=885d172dd48ade1b&vjs=3,"***Emails regarding next steps will come from Bamboo HR – Please Ensure to check your junk mail when applying for jobs***

Cleveland-Cliffs is the largest flat-rolled steel company and the largest iron ore pellet producer in North America. The company is vertically integrated from mining through iron making, steelmaking, rolling, finishing and downstream with hot and cold stamping of steel parts and components.

 Cleveland-Cliffs Tooling and Stamping has openings at its Windsor, Ontario facility for Automation Specialist.

Duties and Responsibilities:

Oversee and improve automated process in manufacturing facility.
Supervise industrial automated equipment and processes
Analyze, prepare, and communicate reports on machinery for process improvements
Maintain, debug, and troubleshoot robotic and PLC programs
Prepare technical documentation such as operating and training manuals.
Proactive in process and quality improvements
Ensure compliance with all legislative safety requirements

Requirements:

Degree or Diploma from an accredited post-secondary institution is required. Programs of study would include: Robotic Technician, Electrical Engineering, Industrial Automation, Mechatronics, and Industrial Controls.
Minimum of 2 years of relevant experience related to industrial automation.
Ability to retain information and communicate effectively
Strong trouble shooting and diagnostic skills
Broad knowledge of process automation
Ability to work independently or as a team in a fast-paced environment with minimal supervision
Strongly motivated with high levels of initiative
Available to work rotating shifts; including days, afternoons, midnights, and weekends.

We thank all who apply, but only applicants selected for an interview will be contacted.

As a company, we are doing what we can to keep all our employees safe and healthy. It is the current expectation that, subject to any exceptional human rights accommodations, all Cleveland-Cliffs employees will be fully vaccinated against COVID-19 as soon as possible. Before accepting an offer of employment, you must certify that you are fully vaccinated or will be before commencing employment, or you must request and be approved for a human rights accommodation. Cleveland-Cliffs reserves the right to require proof of vaccination. Failure to adhere to this requirement will render any offer of employment frustrated, null and void, and you will not be eligible for employment with Cleveland-Cliffs.

Cleveland-Cliffs Inc., including its affiliates and subsidiaries (collectively, “Cleveland-Cliffs”), is an equal opportunity employer and complies with its obligations under applicable human rights legislation. All qualified applicants will receive consideration for employment without regard to race, ancestry, place of origin, colour, ethnic origin, citizenship, creed, sex, sexual orientation, gender identity, gender expression, age, record of offences, marital status, family status or disability, or other protected grounds under applicable human rights legislation. Cleveland-Cliffs requires all prospective employees to undergo a pre-employment background check.

Cleveland-Cliffs Inc. is committed to working with and providing reasonable accommodation to individuals with disabilities or other needs based on protected human rights grounds. If you need a reasonable accommodation for any part of the employment process, please let us know the nature of your request and your contact information.Hiring InsightsJob activityPosted 30+ days ago",Indeed
7,Quality Engineer,Electromac,https://ca.indeed.com/rc/clk?jk=b35b60491e09218e&fccid=aec9ca925f33ea17&vjs=3,"***Emails regarding next steps will come from Bamboo HR - Please Ensure to check your junk mail when applying for jobs***
Cannon Automotive a division of Cleveland-Cliffs Tooling and Stamping is looking for a Quality Engineer in Windsor, Ontario.
Cleveland-Cliffs is the largest flat-rolled steel company and the largest iron ore pellet producer in North America. The company is vertically integrated from mining through iron making, steelmaking, rolling, finishing and downstream with hot and cold stamping of steel parts and components.
Duties and Responsibilities:


Responsible for analyzing all stages of the manufacturing system to maximize the quality of the process itself and the products being produced including prevention planning and the correction of non-conformance with the production cycle
Responsible for the Quality System Maintenance
Conduct root cause analysis and implement corrective action for process related concerns
Responsible for continual improvement activities to enhance the quality system, such as 5S, Kaizen and lean methods
Develop, implement, and participate in training to build quality awareness.
Act as a support to the Quality Inspectors to ensure that products and processes comply with the relevant requirements of the quality management system
Conduct audits, including closing out audit findings, creating audits finding reports and determine proper corrective and preventive actions
Analyze failure, corrective, and preventative action to respond to customer complaints
Maintain quality documentation, such as quality manuals, quality procedures and other relevant written processes
Responsible for planning, organizing, and managing the overall activities of receiving/outgoing quality functions
Ensure timely resolution of supplier failure, corrective actions, and preventive actions
Manage suppliers’ performance and conduct audits
Comply and enforce all safety procedures as required by the Health & Safety Act and/or Company practices or procedures including but not limited to the wearing of all PPE (Personal Protective Equipment) as specified by the Act or designated by the Company
Evaluating the company’s product specification and examining them with customer requirements.
Coaching, managing, mentoring and developing new and existing employees
Participate and complete all Health and Safety training or any other training mandated by the Company
Promote and participate in a safe and healthy work environment
Other duties as assigned by the management team


Requirements:


Possess 3-5 years of supervisory or related experience in a fast paced production/manufacturing environment.
Education: Post Secondary or equivalent
Strong verbal and written communication skills
Strong organizing, planning and problem solving skills
Ability to train personnel
Ability to lift up to 23 kg (50lbs)
Ability to find information, document relevant information and knowledge of computers
Ability to retain information and communicate effectively
Experience in Automotive industry (PFMEA, Control Plan, PPAP)
Ability to work all shifts (days, afternoons, midnights)


We thank all who apply, but only applicants selected for an interview will be contacted.
As a company, we are doing what we can to keep all our employees safe and healthy. It is the current expectation that, subject to any exceptional human rights accommodations, all Cleveland-Cliffs employees will be fully vaccinated against COVID-19 as soon as possible. Before accepting an offer of employment, you must certify that you are fully vaccinated or will be before commencing employment, or you must request and be approved for a human rights accommodation. Cleveland-Cliffs reserves the right to require proof of vaccination. Failure to adhere to this requirement will render any offer of employment frustrated, null and void, and you will not be eligible for employment with Cleveland-Cliffs.
Cleveland-Cliffs Inc., including its affiliates and subsidiaries (collectively, “Cleveland-Cliffs”), is an equal opportunity employer and complies with its obligations under applicable human rights legislation. All qualified applicants will receive consideration for employment without regard to race, ancestry, place of origin, colour, ethnic origin, citizenship, creed, sex, sexual orientation, gender identity, gender expression, age, record of offences, marital status, family status or disability, or other protected grounds under applicable human rights legislation. Cleveland-Cliffs requires all prospective employees to undergo a pre-employment background check.
Cleveland-Cliffs Inc. is committed to working with and providing reasonable accommodation to individuals with disabilities or other needs based on protected human rights grounds. If you need a reasonable accommodation for any part of the employment process, please let us know the nature of your request and your contact information.Hiring InsightsJob activityPosted 1 day ago",Indeed
8,Quality - Inspector,Cleveland-Cliffs,https://ca.indeed.com/rc/clk?jk=f8f12086d5853b82&fccid=885d172dd48ade1b&vjs=3,"***Emails regarding next steps will come from Bamboo HR – Please Ensure to check your junk mail when applying for jobs***

Cannon Automotive, a division of Cleveland-Cliffs Tooling and Stamping, is looking for a Quality – Inspector for its Windsor, Ontario stamping facilities.

Duties and Responsibilities:

Responsible for the final stages of product manufactured before shipping to customers
Accurate and timely documentation of manufacturing process is required
Strong analytical and problem solving skills
Internal audit /LPA experience is an asset
Production welding processes is preferred
Experience with Measuring Systems Analysis
Other duties as assigned by the management team.

Requirements:

2-5 years experience in a quality environment
Ability to lift up to 40 lbs
Excellent communication, verbal and written

We thank all who apply, but only applicants selected for an interview will be contacted.

As a company, we are doing what we can to keep all our employees safe and healthy. It is the current expectation that, subject to any exceptional human rights accommodations, all Cleveland-Cliffs employees will be fully vaccinated against COVID-19 as soon as possible. Before accepting an offer of employment, you must certify that you are fully vaccinated or will be before commencing employment, or you must request and be approved for a human rights accommodation. Cleveland-Cliffs reserves the right to require proof of vaccination. Failure to adhere to this requirement will render any offer of employment frustrated, null and void, and you will not be eligible for employment with Cleveland-Cliffs.

Cleveland-Cliffs Inc., including its affiliates and subsidiaries (collectively, “Cleveland-Cliffs”), is an equal opportunity employer and complies with its obligations under applicable human rights legislation. All qualified applicants will receive consideration for employment without regard to race, ancestry, place of origin, colour, ethnic origin, citizenship, creed, sex, sexual orientation, gender identity, gender expression, age, record of offences, marital status, family status or disability, or other protected grounds under applicable human rights legislation. Cleveland-Cliffs requires all prospective employees to undergo a pre-employment background check.

Cleveland-Cliffs Inc. is committed to working with and providing reasonable accommodation to individuals with disabilities or other needs based on protected human rights grounds. If you need a reasonable accommodation for any part of the employment process, please let us know the nature of your request and your contact information.Hiring InsightsJob activityPosted 30+ days ago",Indeed
9,Quality - Inspector,Electromac,https://ca.indeed.com/rc/clk?jk=dd612ca0ffbad4ff&fccid=aec9ca925f33ea17&vjs=3,"***Emails regarding next steps will come from Bamboo HR - Please Ensure to check your junk mail when applying for jobs***
Cleveland-Cliffs is the largest flat-rolled steel company and the largest iron ore pellet producer in North America. The company is vertically integrated from mining through iron making, steelmaking, rolling, finishing and downstream with hot and cold stamping of steel parts and components.

Cleveland-Cliffs Tooling and Stamping has openings at its Windsor, Ontario facility for Quality Inspector.
Duties and Responsibilities:

Responsible for the final stages of product manufactured before shipping to customers
Accurate and timely documentation of manufacturing process is required
Strong analytical and problem solving skills
Internal audit /LPA experience is an asset
Production welding processes is preferred
Experience with Measuring Systems Analysis
Other duties as assigned by the management team.


Requirements:

2-5 years experience in a quality environment
Ability to lift up to 40 lbs
Excellent communication, verbal and written

We thank all who apply, but only applicants selected for an interview will be contacted.
As a company, we are doing what we can to keep all our employees safe and healthy. It is the current expectation that, subject to any exceptional human rights accommodations, all Cleveland-Cliffs employees will be fully vaccinated against COVID-19 as soon as possible. Before accepting an offer of employment, you must certify that you are fully vaccinated or will be before commencing employment, or you must request and be approved for a human rights accommodation. Cleveland-Cliffs reserves the right to require proof of vaccination. Failure to adhere to this requirement will render any offer of employment frustrated, null and void, and you will not be eligible for employment with Cleveland-Cliffs.
Cleveland-Cliffs Inc., including its affiliates and subsidiaries (collectively, “Cleveland-Cliffs”), is an equal opportunity employer and complies with its obligations under applicable human rights legislation. All qualified applicants will receive consideration for employment without regard to race, ancestry, place of origin, colour, ethnic origin, citizenship, creed, sex, sexual orientation, gender identity, gender expression, age, record of offences, marital status, family status or disability, or other protected grounds under applicable human rights legislation. Cleveland-Cliffs requires all prospective employees to undergo a pre-employment background check.
Cleveland-Cliffs Inc. is committed to working with and providing reasonable accommodation to individuals with disabilities or other needs based on protected human rights grounds. If you need a reasonable accommodation for any part of the employment process, please let us know the nature of your request and your contact information.Hiring InsightsJob activityPosted 5 days ago",Indeed
10,Controls Specialist,Electromac,https://ca.indeed.com/rc/clk?jk=2444c4341cf93b5c&fccid=aec9ca925f33ea17&vjs=3,"***Emails regarding next steps will come from Bamboo HR - Please Ensure to check your junk mail when applying for jobs***
Cleveland-Cliffs is the largest flat-rolled steel company and the largest iron ore pellet producer in North America. The company is vertically integrated from mining through iron making, steelmaking, rolling, finishing and downstream with hot and cold stamping of steel parts and components.

Cleveland-Cliffs Tooling and Stamping has openings at its Windsor, Ontario facility for Controls Specialist.
Duties and Responsibilities:


Oversee and improve electrical and automated processes in a manufacturing facility.
Continuously improve automated systems, to increase equipment efficiency in high-throughput operations.
Guiding both the Electrical and Automation Teams, in supporting of the Maintenance Management
Executes broad range of process automation, PLC programming, HMI improvements and robotic operations
Ensures functional design specifications are understood and successfully delivered on time and within budget
Involvement in new project engineering and controls programming
Executes broad range of process automation, and offers leadership amongst the team
Utilize lean-manufacturing principles by improving process capability, reducing overall costs, and increasing capacity
Prepare reports on machinery deficiencies and other reports as required
Communicate and works effectively with work-team members and other members of the company.
Abide by all Company policies including, but not limited to the following: Health and Safety, Environmental, Quality, Human Resources policies, and the Employee Handbook


Requirements:


Minimum of 5 years of relevant experience in industrial process automation
Post-secondary education in engineering, instrumentation, process control or electronics
Ability to prepare technical documentation such as shop drawings, operating manuals, training manuals, equipment reports, and employee assessments
Excellent industrial mechanic knowledge.
Strong troubleshooting and diagnostic skills
Ability to work independently in a fast-paced environment with minimal supervision
Ability to mentor and lead Jr. associates
Strong sense of teamwork within the group and across the organization


We thank all who apply, but only applicants selected for an interview will be contacted.
As a company, we are doing what we can to keep all our employees safe and healthy. It is the current expectation that, subject to any exceptional human rights accommodations, all Cleveland-Cliffs employees will be fully vaccinated against COVID-19 as soon as possible. Before accepting an offer of employment, you must certify that you are fully vaccinated or will be before commencing employment, or you must request and be approved for a human rights accommodation. Cleveland-Cliffs reserves the right to require proof of vaccination. Failure to adhere to this requirement will render any offer of employment frustrated, null and void, and you will not be eligible for employment with Cleveland-Cliffs.
Cleveland-Cliffs Inc., including its affiliates and subsidiaries (collectively, “Cleveland-Cliffs”), is an equal opportunity employer and complies with its obligations under applicable human rights legislation. All qualified applicants will receive consideration for employment without regard to race, ancestry, place of origin, colour, ethnic origin, citizenship, creed, sex, sexual orientation, gender identity, gender expression, age, record of offences, marital status, family status or disability, or other protected grounds under applicable human rights legislation. Cleveland-Cliffs requires all prospective employees to undergo a pre-employment background check.
Cleveland-Cliffs Inc. is committed to working with and providing reasonable accommodation to individuals with disabilities or other needs based on protected human rights grounds. If you need a reasonable accommodation for any part of the employment process, please let us know the nature of your request and your contact information.Hiring InsightsJob activityPosted 5 days ago",Indeed
